cod_munibge,area plantada,area colhida,quantidade produzida,valor da producao,cod_produto
4100806,7,7,175,438,12
4100806,0,0,0,0,13
4100806,0,0,0,0,14
4100806,0,0,0,0,15
4100806,0,0,0,0,16
4100806,0,0,0,0,17
4100806,58,58,71,1207,18
4100806,58,58,71,1207,19
4100806,0,0,0,0,20
4100806,0,0,0,0,21
4100806,2326,2326,175990,18479,22
4100806,0,0,0,0,23
4100806,0,0,0,0,24
4100806,0,0,0,0,25
4100806,0,0,0,0,26
4100806,0,0,0,0,27
4100806,0,0,0,0,28
4100806,0,0,0,0,29
4100806,0,0,0,0,30
4100806,0,0,0,0,31
4100806,0,0,0,0,32
4100806,0,0,0,0,33
4100806,0,0,0,0,34
4100806,0,0,0,0,35
4100806,0,0,0,0,36
4100806,0,0,0,0,37
4100806,0,0,0,0,38
4100806,0,0,0,0,39
4100806,0,0,0,0,40
4100806,0,0,0,0,41
4100806,4,4,107,235,42
4100806,0,0,0,0,43
4100806,0,0,0,0,44
4100806,0,0,0,0,45
4100806,0,0,0,0,46
4100806,0,0,0,0,47
4100806,0,0,0,0,48
4100806,15,15,255,510,49
4100806,0,0,0,0,50
4100806,0,0,0,0,51
4100806,0,0,0,0,52
4100806,0,0,0,0,53
4100806,0,0,0,0,54
4100806,20600,20600,103000,130398,55
4100806,0,0,0,0,56
4100806,0,0,0,0,57
4100806,0,0,0,0,58
4100806,0,0,0,0,59
4100806,0,0,0,0,60
4100806,0,0,0,0,61
4100806,0,0,0,0,62
4100806,21000,21000,73500,214326,63
4100806,0,0,0,0,64
4100806,0,0,0,0,65
4100806,0,0,0,0,66
4100806,650,650,1191,2144,67
4100806,0,0,0,0,68
4100806,0,0,0,0,69
4100806,0,0,0,0,70
4100806,0,0,0,0,71
4100905,0,0,0,0,1
4100905,2,0,0,0,2
4100905,0,0,0,0,3
4100905,0,0,0,0,4
4100905,0,0,0,0,5
4100905,0,0,0,0,6
4100905,0,0,0,0,7
4100905,0,0,0,0,8
4100905,0,0,0,0,9
4100905,0,0,0,0,10
4100905,0,0,0,0,11
4100905,0,0,0,0,12
4100905,0,0,0,0,13
4100905,0,0,0,0,14
4100905,0,0,0,0,15
4100905,0,0,0,0,16
4100905,0,0,0,0,17
4100905,1,1,1,6,18
4100905,1,1,1,6,19
4100905,0,0,0,0,20
4100905,0,0,0,0,21
4100905,8626,8626,425506,44678,22
4100905,0,0,0,0,23
4100905,0,0,0,0,24
4100905,0,0,0,0,25
4100905,0,0,0,0,26
4100905,0,0,0,0,27
4100905,0,0,0,0,28
4100905,0,0,0,0,29
4100905,0,0,0,0,30
4100905,0,0,0,0,31
4100905,0,0,0,0,32
4100905,0,0,0,0,33
4100905,0,0,0,0,34
4100905,0,0,0,0,35
4100905,0,0,0,0,36
4100905,0,0,0,0,37
4100905,0,0,0,0,38
4100905,0,0,0,0,39
4100905,0,0,0,0,40
4100905,0,0,0,0,41
4100905,0,0,0,0,42
4100905,0,0,0,0,43
4100905,0,0,0,0,44
4100905,0,0,0,0,45
4100905,0,0,0,0,46
4100905,0,0,0,0,47
4100905,0,0,0,0,48
4100905,1505,1505,36077,24526,49
4100905,0,0,0,0,50
4100905,0,0,0,0,51
4100905,0,0,0,0,52
4100905,2,2,40,37,53
4100905,0,0,0,0,54
4100905,2100,2000,9660,12446,55
4100905,0,0,0,0,56
4100905,0,0,0,0,57
4100905,0,0,0,0,58
4100905,0,0,0,0,59
4100905,0,0,0,0,60
4100905,0,0,0,0,61
4100905,0,0,0,0,62
4100905,2300,2300,1932,1546,63
4100905,0,0,0,0,64
4100905,0,0,0,0,65
4100905,0,0,0,0,66
4100905,0,0,0,0,67
4100905,0,0,0,0,68
4100905,0,0,0,0,69
4100905,0,0,0,0,70
4100905,0,0,0,0,71
4101002,1,1,23,74,1
4101002,1,1,16,40,2
4101002,0,0,0,0,3
4101002,0,0,0,0,4
4101002,0,0,0,0,5
4101002,0,0,0,0,6
4101002,1,1,4,51,7
4101002,5,5,8,24,8
4101002,1,1,1,2,9
4101002,100,100,170,291,10
4101002,0,0,0,0,11
4101002,7,7,175,264,12
4101002,0,0,0,0,13
4101002,1,1,11,11,14
4101002,0,0,0,0,15
4101002,0,0,0,0,16
4101002,0,0,0,0,17
4101002,0,0,0,0,18
4101002,0,0,0,0,19
4101002,0,0,0,0,20
4101002,0,0,0,0,21
4101002,10,10,500,58,22
4101002,0,0,0,0,23
4101002,1,1,21,83,24
4101002,0,0,0,0,25
4101002,2,2,16,23,26
4101002,0,0,0,0,27
4101002,0,0,0,0,28
4101002,0,0,0,0,29
4101002,0,0,0,0,30
4101002,0,0,0,0,31
4101002,6,6,51,81,32
4101002,0,0,0,0,33
4101002,0,0,0,0,34
4101002,170,170,186,851,35
4101002,1,1,10,49,36
4101002,8,8,18,247,37
4101002,0,0,0,0,38
4101002,0,0,0,0,39
4101002,0,0,0,0,40
4101002,0,0,0,0,41
4101002,15,15,382,648,42
4101002,2,2,40,80,43
4101002,0,0,0,0,44
4101002,0,0,0,0,45
4101002,0,0,0,0,46
4101002,2,2,48,125,47
4101002,0,0,0,0,48
4101002,100,100,2100,1685,49
4101002,1,1,18,67,50
4101002,0,0,0,0,51
4101002,0,0,0,0,52
4101002,10,10,300,468,53
4101002,4,4,36,105,54
4101002,5350,5300,15900,19971,55
4101002,0,0,0,0,56
4101002,0,0,0,0,57
4101002,2,2,17,50,58
4101002,2,2,18,95,59
4101002,0,0,0,0,60
4101002,0,0,0,0,61
4101002,0,0,0,0,62
4101002,8420,8220,6576,19534,63
4101002,0,0,0,0,64
4101002,7,7,140,182,65
4101002,2,2,90,288,66
4101002,2500,2500,5750,8931,67
4101002,0,0,0,0,68
4101002,0,0,0,0,69
4101002,0,0,0,0,70
4101002,20,20,246,1500,71
4101051,1,1,20,92,1
4101051,2,2,40,80,2
4101051,0,0,0,0,3
4101051,0,0,0,0,4
4101051,0,0,0,0,5
4101051,0,0,0,0,6
4101051,0,0,0,0,7
4101051,4,4,8,24,8
4101051,4,4,12,20,9
4101051,0,0,0,0,10
4101051,0,0,0,0,11
4101051,20,20,428,1584,12
4101051,0,0,0,0,13
4101051,0,0,0,0,14
4101051,0,0,0,0,15
4101051,0,0,0,0,16
4101051,0,0,0,0,17
4101051,5,5,6,120,18
4101051,5,5,6,120,19
4101051,0,0,0,0,20
4101051,0,0,0,0,21
4101051,1,1,50,5,22
4101051,0,0,0,0,23
4101051,1,1,10,48,24
4101051,0,0,0,0,25
4101051,0,0,0,0,26
4101051,0,0,0,0,27
4101051,0,0,0,0,28
4101051,0,0,0,0,29
4101051,0,0,0,0,30
4101051,0,0,0,0,31
4101051,20,20,72,108,32
4101051,0,0,0,0,33
4101051,0,0,0,0,34
4101051,45,45,48,218,35
4101051,0,0,0,0,36
4101051,0,0,0,0,37
4101051,0,0,0,0,38
4101051,1,1,10,60,39
4101051,0,0,0,0,40
4101051,0,0,0,0,41
4101051,10,10,200,300,42
4101051,2,2,22,66,43
4101051,0,0,0,0,44
4101051,0,0,0,0,45
4101051,0,0,0,0,46
4101051,1,1,15,48,47
4101051,0,0,0,0,48
4101051,70,70,1840,1561,49
4101051,7,7,130,286,50
4101051,2,2,26,156,51
4101051,0,0,0,0,52
4101051,0,0,0,0,53
4101051,0,0,0,0,54
4101051,4400,4400,19575,26739,55
4101051,0,0,0,0,56
4101051,0,0,0,0,57
4101051,0,0,0,0,58
4101051,1,1,8,32,59
4101051,0,0,0,0,60
4101051,0,0,0,0,61
4101051,0,0,0,0,62
4101051,5284,5284,10000,29490,63
4101051,0,0,0,0,64
4101051,8,8,160,320,65
4101051,2,2,90,198,66
4101051,760,760,1769,2712,67
4101051,0,0,0,0,68
4101051,0,0,0,0,69
4101051,0,0,0,0,70
4101051,2,2,20,125,71
4101101,6,6,60,309,1
4101101,0,0,0,0,2
4101101,0,0,0,0,3
4101101,0,0,0,0,4
4101101,0,0,0,0,5
4101101,0,0,0,0,6
4101101,0,0,0,0,7
4101101,1,1,2,6,8
4101101,12,12,58,90,9
4101101,0,0,0,0,10
4101101,0,0,0,0,11
4101101,121,121,3025,4234,12
4101101,0,0,0,0,13
4101101,0,0,0,0,14
4101101,0,0,0,0,15
4101101,0,0,0,0,16
4101101,0,0,0,0,17
4101101,1,1,1,19,18
4101101,1,1,1,19,19
4101101,0,0,0,0,20
4101101,0,0,0,0,21
4101101,5100,5100,366996,43427,22
4101101,0,0,0,0,23
4101101,0,0,0,0,24
4101101,0,0,0,0,25
4101101,0,0,0,0,26
4101101,0,0,0,0,27
4101101,0,0,0,0,28
4101101,0,0,0,0,29
4101101,0,0,0,0,30
4101101,0,0,0,0,31
4101101,0,0,0,0,32
4101101,0,0,0,0,33
4101101,0,0,0,0,34
4101101,15,15,20,85,35
4101101,0,0,0,0,36
4101101,0,0,0,0,37
4101101,0,0,0,0,38
4101101,0,0,0,0,39
4101101,0,0,0,0,40
4101101,0,0,0,0,41
4101101,35,35,1190,1967,42
4101101,29,29,416,478,43
4101101,0,0,0,0,44
4101101,0,0,0,0,45
4101101,0,0,0,0,46
4101101,0,0,0,0,47
4101101,0,0,0,0,48
4101101,4,4,74,55,49
4101101,0,0,0,0,50
4101101,1,1,30,119,51
4101101,0,0,0,0,52
4101101,0,0,0,0,53
4101101,0,0,0,0,54
4101101,10020,10020,59136,79215,55
4101101,0,0,0,0,56
4101101,0,0,0,0,57
4101101,0,0,0,0,58
4101101,0,0,0,0,59
4101101,0,0,0,0,60
4101101,0,0,0,0,61
4101101,0,0,0,0,62
4101101,13390,13390,47401,146378,63
4101101,0,0,0,0,64
4101101,0,0,0,0,65
4101101,4,4,165,351,66
4101101,920,920,1270,2289,67
4101101,0,0,0,0,68
4101101,0,0,0,0,69
4101101,0,0,0,0,70
4101101,0,0,0,0,71
4101150,0,0,0,0,1
4101150,0,0,0,0,2
4101150,0,0,0,0,3
4101150,0,0,0,0,4
4101150,0,0,0,0,5
4101150,0,0,0,0,6
4101150,0,0,0,0,7
4101150,0,0,0,0,8
4101150,0,0,0,0,9
4101150,0,0,0,0,10
4101150,0,0,0,0,11
4101150,2,0,0,0,12
4101150,0,0,0,0,13
4101150,0,0,0,0,14
4101150,0,0,0,0,15
4101150,0,0,0,0,16
4101150,0,0,0,0,17
4101150,5,5,6,120,18
4101150,5,5,6,120,19
4101150,0,0,0,0,20
4101150,0,0,0,0,21
4101150,209,209,12928,1513,22
4101150,0,0,0,0,23
4101150,0,0,0,0,24
4101150,0,0,0,0,25
4101150,0,0,0,0,26
4101150,0,0,0,0,27
4101150,0,0,0,0,28
4101150,0,0,0,0,29
4101150,0,0,0,0,30
4101150,0,0,0,0,31
4101150,0,0,0,0,32
4101150,0,0,0,0,33
4101150,0,0,0,0,34
4101150,0,0,0,0,35
4101150,0,0,0,0,36
4101150,0,0,0,0,37
4101150,0,0,0,0,38
4101150,0,0,0,0,39
4101150,0,0,0,0,40
4101150,0,0,0,0,41
4101150,277,277,13739,28102,42
4101150,0,0,0,0,43
4101150,0,0,0,0,44
4101150,0,0,0,0,45
4101150,0,0,0,0,46
4101150,0,0,0,0,47
